Ref Des;Mid X (mm);Mid Y (mm);Rotation;Comment;Package;LCSC Part number
3V3;46.33;55.75;0.00;TPTP20R;TP20R;
BOOT_BUTTON;48.88;109.02;180.00;BUTTON_CUSYOMV1;MYBUTTON;
C1;84.41;65.70;90.00;100nF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C10;66.17;108.66;270.00;100nF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C10_SUPERCAP;84.05;46.35;0.00;CPH3225A;CAPCP3225X100N;
C1_BAT;135.94;56.59;180.00;4.7uF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C1_BAT1;49.07;94.55;90.00;4.7uF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C1_BAT2;64.43;94.61;270.00;4.7uF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C2;73.68;64.33;180.00;100nF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C2_BAT;141.09;45.89;270.00;4.7uF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C3;56.81;86.89;180.00;100uF;RCL_CT3528;
C4;92.35;27.14;270.00;4.7uF/25V;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C4_USB;110.78;54.49;180.00;100nF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C5;27.67;108.75;270.00;1uF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C5_USB;146.01;53.67;270.00;4.7uF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C6;52.17;108.80;270.00;100nF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C7;73.51;31.33;180.00;10uF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C8;91.42;49.33;180.00;100nF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
C9;nov.33;100.46;90.00;100nF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
CHANGE_BUTTON;62.89;108.89;180.00;BUTTON_CUSYOMV1;MYBUTTON;
CHG_LED;142.56;48.06;270.00;;ADAFRUIT_CHIP-LED0603;
C_DELAY;28.43;97.31;270.00;100nF;ESP32_WROVER_EAGLE-LTSPICE_C0402;
D1;164.26;37.17;180.00;USBLC6-2SC6Y;SOT95P280X145-6N;
D10;15.59;26.19;90.00;PGB1010603MR;DIOC1608X36N;
D11;29.iul;29.91;0.00;PGB1010603MR;DIOC1608X36N;
D12;44.05;38.59;180.00;PGB1010603MR;DIOC1608X36N;
D2;47.69;88.78;180.00;ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0;ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0;
D3;77.71;27.91;0.00;MBR0530;SOD3716X135N;
D4;84.05;27.91;0.00;MBR0530;SOD3716X135N;
D5;71.89;35.91;0.00;MBR0530;SOD3716X135N;
D6;19.59;29.mai;90.00;PGB1010603MR;DIOC1608X36N;
D7;95.78;54.96;90.00;SD0805S020S1R0;ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0;
D8;nov.93;28.91;0.00;PGB1010603MR;DIOC1608X36N;
D9;24.19;23.59;180.00;PGB1010603MR;DIOC1608X36N;
EPD_3V3;48.48;70.25;0.00;TPTP20R;TP20R;
EPD_3V3_C;38.88;74.25;0.00;TPTP20R;TP20R;
EPD_BUSY;101.69;15.33;0.00;TPTP20R;TP20R;
EPD_C1;88.02;20.44;90.00;1uF/50V;ESP32_WROVER_EAGLE-LTSPICE_C0402;
EPD_C10;79.12;21.mar;90.00;1uF/50V;ESP32_WROVER_EAGLE-LTSPICE_C0402;
EPD_C11;78.10;20.71;90.00;1uF/50V;ESP32_WROVER_EAGLE-LTSPICE_C0402;
EPD_C12;77.07;20.87;90.00;1uF/50V;ESP32_WROVER_EAGLE-LTSPICE_C0402;
EPD_C2;86.99;20.55;90.00;1uF/50V;ESP32_WROVER_EAGLE-LTSPICE_C0402;
EPD_C5;84.26;20.70;90.00;0.1uF/50V;ESP32_WROVER_EAGLE-LTSPICE_C0402;
EPD_C6;83.23;21.16;90.00;1uF/50V;ESP32_WROVER_EAGLE-LTSPICE_C0402;
EPD_C7;82.20;20.78;90.00;1uF/50V;ESP32_WROVER_EAGLE-LTSPICE_C0402;
EPD_C8;81.18;20.89;90.00;1uF/50V;ESP32_WROVER_EAGLE-LTSPICE_C0402;
